"","Gene Symbol (NCBI)","Protein Accession No.","E15_Set1","E18_Set1","P0_Set1","P3_Set1","P6_Set1","P9_Set1","E15_Set2","E18_Set2","P0_Set2","P3_Set2","P6_Set2","P9_Set2","E15_Set3","E18_Set3","P0_Set3","P3_Set3","P6_Set3","P9_Set3","E15_Set1","E18_Set1","P0_Set1","P3_Set1","P6_Set1","P9_Set1","E15_Set2","E18_Set2","P0_Set2","P3_Set2","P6_Set2","P9_Set2","E15_Set3","E18_Set3","P0_Set3","P3_Set3","P6_Set3","P9_Set3","ave1","ave2","ave3","E15_Set1","E18_Set1","P0_Set1","P3_Set1","P6_Set1","P9_Set1","E15_Set2","E18_Set2","P0_Set2","P3_Set2","P6_Set2","P9_Set2","E15_Set3","E18_Set3","P0_Set3","P3_Set3","P6_Set3","P9_Set3","E15_Set1","E18_Set1","E15_Set2","E18_Set2","E15_Set3","E18_Set3","P6_Set1","P9_Set1","P6_Set2","P9_Set2","P6_Set3","P9_Set3","ave_early","ave_late","logFC","p_value","fdr","candidate"
"P24622","Cryaa","P24622",1069664652,1457114681,1179045944,1455372629,1289042085,1407632648,794413496.8,948014907,1937604914,1869740434,2319811405,1979600014,504923157.8,799957030,694554606,815374344.8,1120186978,952547299.8,680111701.658079,964061135.196595,1164857263.75184,1423295531.66672,1480832527.05763,1522721572.00333,653120390.885937,955543132.798873,1307772514.15471,1907591270.77787,1838059426.13563,1787376136.97972,551415847.132952,1188626362.09525,1249453655.48402,1578768110.17243,1505110408.22083,1486028016.00521,1205979955.22237,1408243811.95546,1259900399.85178,0.563949424460107,0.799400629356924,0.965901015773566,1.18019833207285,1.22790807645272,1.26264252188384,0.46378360433129,0.678535296719697,0.928654898428964,1.35458878255537,1.30521392001243,1.26922349795225,0.437666221232902,0.943428831545004,0.991708277599569,1.25308961752704,1.19462650253774,1.17948054955775,-0.82636230877444,-0.323009386314947,-1.1084762761282,-0.559504229754688,-1.19209705278908,-0.0840144040353179,0.29620256184027,0.336446242525876,0.384286278863139,0.343946136158117,0.256559633133334,0.238151627744013,0.647794001274321,1.23984917806612,0.93655762047774,6.35800869399359e-05,0.000112064343181842,"high"
"Q9JJU9","Crybb3","Q9JJU9",526906031.9,784281819.9,534395112.8,600416634.6,569878247.7,647355498.4,194176625.9,197270382.6,460870619.6,331488498.4,478119986.5,367960325.4,296834237.4,288048267.6,245193675.3,267307062.5,431955394.5,393248818.2,335016172.871921,518899185.812846,527964183.267285,587183169.544514,654667722.238693,700283688.055411,159640683.749169,198836914.911546,311061313.139471,338199118.130161,378829479.894795,332230501.275019,324166360.654066,428000194.49198,441085742.227655,517573147.340541,580385750.698386,613490543.964416,554002353.631778,286466335.18336,484116956.562841,0.604719764592537,0.936637150386073,0.952999892159665,1.05989291506655,1.1817056695644,1.26404460823078,0.557275547393683,0.694102205008751,1.08585643384717,1.18058939775136,1.32242233507932,1.15975408091972,0.669603401119431,0.884084287257192,0.911114011290369,1.06910766153542,1.19885441488982,1.26723622390777,-0.725661362245417,-0.0944378332599277,-0.843537243871901,-0.526779982800174,-0.578621239093378,-0.177744174353056,0.240870744536465,0.33804737723159,0.403182996376304,0.213818922723455,0.261656473039914,0.341685480512143,0.724403725959611,1.23233622209864,0.766530052783288,2.37321629850506e-05,4.72695544304511e-05,"high"
"Q9WVJ5","Crybb1","Q9WVJ5",586695634.6,792968077.2,553232976.3,626183064.8,528280041.8,578745748.8,480706341.9,350268581.8,1018230717,600709392,851756335.3,674769074.4,411187998.3,472248038.5,337236872.5,342318701.6,616158187.2,521683037.1,373031459.586058,524646216.696854,546575351.25714,612381695.502681,606880317.094384,626064362.499056,395208685.637574,353050079.173692,687247506.000413,612870092.348595,674873292.498922,609247389.889367,449049672.036051,701695774.845396,606664817.235583,662814390.774429,827885093.184149,813855237.181454,548263233.772695,555416174.258094,676994164.20951,0.680387515717884,0.956923945249203,0.99692140123287,1.11694831566358,1.10691412392973,1.14190469820673,0.71155415336163,0.635649618316003,1.23735594649978,1.10344300499935,1.21507677265682,1.09692050416641,0.663299177121242,1.03648718399918,0.896115283274197,0.979054806991374,1.22288364797181,1.2021599006422,-0.555571425339822,-0.063523828663031,-0.490954536570956,-0.653696350149856,-0.592268358796238,0.0517022778606105,0.146543299999783,0.191442250383943,0.281047471059133,0.133458974783381,0.290287144274607,0.265628803304365,0.780716932294191,1.16430994126228,0.576603692725078,0.000373639155059381,0.000562956797618121,"high"
"P04345","Cryga","P04345",315209709.4,488623202,362367811.2,433275152.8,396120790.8,445134421.8,181105752.5,202759948.5,416298216.6,460506970.1,556686630,450709510.6,140301513.8,235519864,218656764.7,244302151.4,333440542.9,284491653.8,200415907.39523,323284532.745378,358007064.249039,423725564.624767,455057719.593718,481528889.997789,148894574.854222,204370073.682637,280977490.00708,469829426.759419,441080298.799193,406944543.472937,153220300.734764,349950195.634243,393347753.496467,473029901.341134,448018805.340545,443823175.977947,373669946.43432,325349401.262581,376898355.42085,0.536344732317018,0.865160647331325,0.958083644845561,1.13395676764507,1.21780658020809,1.28864762765294,0.45764514788227,0.628155677832937,0.863617664322396,1.44407650647628,1.3557126495008,1.25079235398531,0.406529502002405,0.928500192693819,1.04364412271645,1.2550596056938,1.18869928429452,1.177567292599,-0.898767512604219,-0.208960050474124,-1.12769871013797,-0.670805943725672,-1.29856804185362,-0.107025885320756,0.284285013430334,0.365857822011446,0.439051423997047,0.322842305298853,0.249383789996367,0.235809505634153,0.637055983343295,1.24653763137344,0.968434371969461,8.82153576729092e-05,0.000151096337382209,"high"
"P62696","Crybb2","P62696",30064314.65,43240455.23,25447349.44,95541340.17,199771510,368264651,970485.3823,965249.8847,13289065.95,60115070.75,184639333.2,292264145.1,413635.3393,2577753.167,5953924.911,29244165.9,84402817.97,134267384.2,19115422.9108764,28608895.9908375,25141115.144208,93435564.0911338,229494563.001346,398374198.751872,797876.414222655,972914.974173491,8969359.57512713,61332034.179507,146295541.996293,263884600.400149,451722.361117332,3830187.44053129,10710681.6084181,56623999.5481299,113405674.503222,209464763.165911,132361626.648379,80375387.9232453,65747838.1045548,0.144418162536313,0.216141919038495,0.189942627488221,0.705911270940686,1.73384513935449,3.00974088064179,0.00992687481626327,0.0121046379907065,0.111593359694792,0.763069837225248,1.82015347952035,3.28315181075264,0.0068705279768893,0.0582557168562771,0.162905456927505,0.861229831741147,1.72485784738472,3.18588061911346,-2.79167590284712,-2.20994919610912,-6.65444468540974,-6.36829625598286,-7.18536331511336,-4.10145655587907,0.793975048120081,1.58963928555481,0.864060106911404,1.71508146071087,0.786477468369797,1.67169220740313,0.0746196398691574,2.45960496279458,5.04272741525662,1.14181169299203e-05,2.58237698307517e-05,"high"
"Q61597","Crygc","Q61597",121970802.2,209140085.9,189655080.1,201060108.6,237678670.7,309076418.5,29836712.74,27384410.03,78502992.39,78695122.04,139666561.6,131618214.1,45393639.99,94515836.3,92566738.64,117465775.5,175146796.6,170114753.3,77551192.9666373,138371969.79547,187372764.213438,196628649.230153,273041749.88234,334346699.414916,24530003.0349387,27601870.7688054,52985030.6348565,80288218.1539769,110662202.759897,118837771.97944,49573429.2691102,140437561.5796,166520888.308646,227443040.829991,235331486.355841,265388699.745085,201218837.583826,69150849.5553191,180782517.681379,0.385407220804217,0.687669064472283,0.931188980432216,0.977188078368853,1.35693930628435,1.66160734963808,0.354731766748798,0.399154470932777,0.766223856620442,1.16105902776723,1.60030142032268,1.71852945760807,0.274215836270635,0.776831539801404,0.92111167852044,1.25810307184044,1.30173807386952,1.46799979969756,-1.37554449336051,-0.540213649012647,-1.49519956337706,-1.32498092407559,-1.86661620411529,-0.364326318703695,0.440356192767956,0.732579502652301,0.678343665518254,0.781174581405202,0.380439189253134,0.553851771331431,0.479668316505019,1.51785256790338,1.66192261209205,2.03651869724912e-06,6.29923185276567e-06,"high"
"P02525","Cryba1","P02525",186302162.6,278888702.1,238526507.4,275111484.5,264731434.7,297845302.9,224804496.7,272526653.5,520158200.5,641277672.9,812581385.6,669945213.3,190783076.7,324199978,322693855.8,355330963.4,429218483.7,350327277.9,118454209.542736,184519284.752187,235656071.043019,269047897.972423,304119565.994149,322197320.79253,184821130.744943,274690798.988231,351077039.860395,654259633.435722,643833749.625189,604891937.193233,208350142.456392,481716674.758767,580502978.813364,688009375.264766,576708370.928442,546530497.582165,238999058.349508,452262381.641285,513636339.967316,0.495626260457944,0.772050258383652,0.986012550302188,1.12572785780174,1.27247181681114,1.34811125624334,0.408659084300174,0.607370433931211,0.776268498357784,1.44663730611725,1.42358457338123,1.33748010391235,0.405637464182636,0.937855516199302,1.13018284269042,1.3394873410019,1.12279511018465,1.0640417257411,-1.01267546505867,-0.373233328791953,-1.29103028958158,-0.719351413347739,-1.30173719083394,-0.0925624132109797,0.347633703297375,0.430939563439029,0.509528204336437,0.41951743042931,0.167094685985055,0.0895547263460956,0.60453316957582,1.2614140977123,1.06114855747198,8.26489460218933e-05,0.000142412574931225,"high"
"P23927","Cryab","P23927",47012234.9,112758049.4,102272718.8,174202045.9,216330594.2,285506498.6,26493550.58,53602576.81,207718517.7,275211610.6,485593238.4,514443022.2,21378916.67,52491154.31,58706320.48,107677233.5,197709582.4,215093420.6,29891210.3123216,74603361.3720194,101041965.314483,170362550.865777,248517394.596209,308849688.150567,21781450.3158199,54028237.1014654,140198120.972054,280782966.689204,384750772.060647,464489379.275186,23347460.4289042,77994651.5248145,105608437.53695,208489981.964159,265647392.908039,335557981.359144,155544361.768563,224338487.735729,169440984.287002,0.192171609259597,0.479627551418566,0.649602236722826,1.09526664244675,1.59772679491901,1.98560516523325,0.0970919013302722,0.240833562028423,0.624940117886538,1.25160408061574,1.71504575939677,2.07048457874225,0.137791104833042,0.460305703800126,0.623275637717432,1.23045780713252,1.5677871208425,1.98038262567438,-2.37953288159473,-1.06001356050288,-3.36450522778558,-2.0538916380141,-2.85944533766859,-1.11933577530368,0.676020734102707,0.989578773525459,0.778247069677436,1.04996845735405,0.648729678997297,0.985779197392227,0.267970238778338,1.81950534080136,2.76340159935923,6.6887172017853e-06,1.6333516077115e-05,"high"
"P04342","Crygd","P04342",175910248.3,253592272.8,220625374,246056465.9,226926684.9,272852985.3,172395923.6,233377648.4,546310862,638899515.9,749791567.3,681228060.3,120452595.4,182976525.6,204868668.7,221806708.3,276941000.2,270842358.8,111846846.660507,167782575.785229,217970360.510283,240633265.649505,260690027.243973,295161615.70431,141733862.103706,235230910.010754,368728590.821363,651833333.265257,594083404.772626,615079192.872345,131543718.892296,271878005.713327,368543962.980154,429473112.466216,372104648.643852,422529498.726457,215680781.925635,434448215.641008,332678824.570384,0.518575858553178,0.777920843420716,1.010615589225,1.11569173433576,1.20868454257486,1.36851143189049,0.326238794408637,0.541447522493978,0.848728519410123,1.5003706075844,1.36744353730647,1.41577101879639,0.395407549795722,0.817238686785749,1.10780709729898,1.29095415982917,1.1185101700548,1.27008233623557,-0.947373049429466,-0.362304732239242,-1.61599974578331,-0.885106577379644,-1.33858767716151,-0.291170594300225,0.273437761338347,0.452607486338111,0.451481264367256,0.501587948499854,0.161578374162723,0.344922026311112,0.562804875909663,1.2915005061431,1.19834147619582,4.36197892358304e-05,8.0024326459081e-05,"high"
"P04344","Crygb","P04344",71816154.86,146851694.1,82991911.85,115491984,111973591,151492365.6,31321745.04,56410662.87,175605613.2,182594071.3,273801151,266330554.2,42897512.86,68187690.58,57380535.98,70660654.27,174228364.7,161098494.6,45661981.2546397,97160513.695757,81993184.2716429,112946486.346573,128633609.137942,163878475.979292,25750909.8802543,56858622.2896397,118523746.825223,186290487.264326,216941250.223026,240469222.953675,46847461.8923363,101317550.261146,103223446.816856,136816651.537839,234097458.966592,251322822.879376,105045708.447641,140805706.572691,145604232.059024,0.434686784728569,0.924935584057541,0.780547682369257,1.07521276228881,1.22454892292966,1.56006826362616,0.182882572780958,0.403809076163305,0.841753858633814,1.32303222503382,1.54071348032354,1.70780878706456,0.321745194008822,0.695842070167811,0.708931638573608,0.939647492405145,1.60776548631976,1.72606811852486,-1.20195185916639,-0.112575200390034,-2.45101049033311,-1.30825475730209,-1.6360094961894,-0.523168188870547,0.292250413312321,0.641609158215885,0.623598595175622,0.7721464542345,0.685056985871713,0.787489400970403,0.493983546984501,1.56116217646476,1.66008551882146,1.47402857153853e-05,3.17011598037087e-05,"high"
