Gene Symbol (NCBI),Protein Accession No.,Reporter ion intensities   E15_Set1,Reporter ion intensities  E18_Set1,Reporter ion intensities  P0_Set1,Reporter ion intensities  P3_Set1,Reporter ion intensities  P6_Set1,Reporter ion intensities P9_Set1,Reporter ion intensities  E15_Set2,Reporter ion intensities E18_Set2,Reporter ion intensities  P0_Set2,Reporter ion intensities P3_Set2,Reporter ion intensities  P6_Set2,Reporter ion intensities  P9_Set2,Reporter ion intensities  E15_Set3,Reporter ion intensities  E18_Set3,Reporter ion intensities P0_Set3,Reporter ion intensities  P3_Set3,Reporter ion intensities P6_Set3,Reporter ion intensities P9_Set3
Cryaa,P24622,1069664652,1457114681,1179045944,1455372629,1289042085,1407632648,794413496.8,948014907,1937604914,1869740434,2319811405,1979600014,504923157.8,799957030,694554606,815374344.8,1120186978,952547299.8
Crybb3,Q9JJU9,526906031.9,784281819.9,534395112.8,600416634.6,569878247.7,647355498.4,194176625.9,197270382.6,460870619.6,331488498.4,478119986.5,367960325.4,296834237.4,288048267.6,245193675.3,267307062.5,431955394.5,393248818.2
Crybb1,Q9WVJ5,586695634.6,792968077.2,553232976.3,626183064.8,528280041.8,578745748.8,480706341.9,350268581.8,1018230717,600709392,851756335.3,674769074.4,411187998.3,472248038.5,337236872.5,342318701.6,616158187.2,521683037.1
Cryga,P04345,315209709.4,488623202,362367811.2,433275152.8,396120790.8,445134421.8,181105752.5,202759948.5,416298216.6,460506970.1,556686630,450709510.6,140301513.8,235519864,218656764.7,244302151.4,333440542.9,284491653.8
Crybb2,P62696,30064314.65,43240455.23,25447349.44,95541340.17,199771510,368264651,970485.3823,965249.8847,13289065.95,60115070.75,184639333.2,292264145.1,413635.3393,2577753.167,5953924.911,29244165.9,84402817.97,134267384.2
Crygc,Q61597,121970802.2,209140085.9,189655080.1,201060108.6,237678670.7,309076418.5,29836712.74,27384410.03,78502992.39,78695122.04,139666561.6,131618214.1,45393639.99,94515836.3,92566738.64,117465775.5,175146796.6,170114753.3
Cryba1,P02525,186302162.6,278888702.1,238526507.4,275111484.5,264731434.7,297845302.9,224804496.7,272526653.5,520158200.5,641277672.9,812581385.6,669945213.3,190783076.7,324199978,322693855.8,355330963.4,429218483.7,350327277.9
Cryab,P23927,47012234.9,112758049.4,102272718.8,174202045.9,216330594.2,285506498.6,26493550.58,53602576.81,207718517.7,275211610.6,485593238.4,514443022.2,21378916.67,52491154.31,58706320.48,107677233.5,197709582.4,215093420.6
Crygd,P04342,175910248.3,253592272.8,220625374,246056465.9,226926684.9,272852985.3,172395923.6,233377648.4,546310862,638899515.9,749791567.3,681228060.3,120452595.4,182976525.6,204868668.7,221806708.3,276941000.2,270842358.8
Crygb,P04344,71816154.86,146851694.1,82991911.85,115491984,111973591,151492365.6,31321745.04,56410662.87,175605613.2,182594071.3,273801151,266330554.2,42897512.86,68187690.58,57380535.98,70660654.27,174228364.7,161098494.6
Crygs,O35486,13192626.68,29092091.58,30186089.79,67132012.55,110063414.4,151360660,3416235.613,4844914.709,37873934.94,65962655.43,126955021.1,170604956.4,1759088.863,12925361.02,15257884.14,33692518.16,77388490.13,97889474.83
Cryba2,Q9JJV1,85497276.99,131086535.6,88383285.51,109986438,110181804.6,135422901,58936531.17,50330619.23,128090189,125681008.9,191744529.4,164131191.9,17962050.84,21604304.89,17381140.97,20722448.37,42968496.75,40578032.99
Bfsp2,Q6NVD9,31873051.38,154613930.8,96550020.64,136435879.2,122232830.9,126330267.2,5853250.399,45268878.77,146180879.5,101337522.9,137851065.8,116059773.7,35166786.07,56502415.22,50102206.54,56357470.74,97223230.52,89694894.13
Cryba4,Q9JJV0,88561616.66,116373592.2,85963127.33,98419291.26,91506895.9,103036528.6,31528714.27,37449692.67,71904946.49,78357108.15,94586562.27,80839605.02,53899130.72,67613814.74,71976880.73,79877730.11,99443476.52,89238208.52
Eef1a1,P10126,240200166.5,222915948.2,128261729,125256660.4,102244330.2,90758835.64,189080300.4,120782273.9,160843828.1,69882710.69,89209578.62,68704536.18,157065109.7,73414144.18,50230249.58,39068165,64963516.3,50879296.37
Bfsp1,A2AMT1,25653837.06,106609448,63301136.26,90877538.07,74951610.36,87509898.8,7911735.948,36051848.49,121405258.2,76735342.93,108101482.2,86908464.3,37523575.63,53516496.15,46219866.89,50527038.39,93647452.55,84191746.82
Alb,P07724,159461893.4,88568531.37,82555193.88,59255231.17,31443623.64,85168784.27,190432089.6,62462503.18,81013616.84,29949096.37,37135063.47,89719407.25,18946880.1,33384225.51,18885488.08,32006754.89,39244323.43,40688295.64
Cryge,Q03740,62079975.65,80159389,75914078.87,80427361.97,79499477.29,78133091.76,77652744.05,78112594.08,186465939.2,105970788.4,140914579.4,117342018,37782482.91,39962720.22,39317782.42,39499250.29,65282379.71,63171560.8
Tuba1a,P68369,137522625.4,125359479.1,94568159.95,89369671.98,73835895.35,61516776.19,57507178.36,47997205.22,52867219.16,28100384.99,34851610.21,35491071.21,65603844.64,39108937.73,30922985.87,23848662.92,30663085.88,24046666.93
Actb,P60710,134587941.2,132592688.9,79947663.78,73807970.77,55988175.55,56415128.2,152699366.9,124972785.5,167997927.5,91018848.89,116180651.8,93673707.58,100017440.2,60923093.2,44070885.58,35903377.47,51303841.46,42708894.25
Sptan1,P16546,96083377.48,98764799.02,71894511.95,70318648.34,55433955.02,56366259.21,95557368.61,71891377.11,136781602.4,70867174.15,93586461.58,70774558.07,90602362.95,58523670.83,52453149.25,41952734,68183495.18,57224501.17
Eno1,P17182,225934564.3,149804933.9,109376492.8,83786491.65,60145735.55,51810253.71,133235547.7,90953863.05,124987528.7,53505377.33,59620841.39,56304010.27,120966620.3,68235945.38,54375590.21,39119408.65,51343344.13,39377732.43
Vim,P20152,107770794.9,103294855.2,70489376.07,67060968.97,54816682.25,50601522.79,119181891.2,78115094.79,139262935.3,63918743.86,80936601.38,56400687.98,86275040.02,48379917.39,43113605.32,31686858.6,53280192.59,43679375.83
Hspa8,P63017,209294023.8,138486036.5,87781302.56,71914567.24,49696784.58,49180516.34,227755322.4,137111457.8,174592141.6,72826539.67,80159393.33,64963886.54,194036634.1,92621833.65,73176957.13,49863450.85,72403869.16,55240109.66
Fabp5,Q05816,9047383.184,15372394.28,10223623.75,21573892.9,28473568.84,48526515.57,2680741.552,2552976.946,18181817.9,18460227.47,48754820.68,58562208.15,1612734.473,3460042.38,4143638.148,8271128.231,24333549.4,34341041.97
Sptbn1,Q62261,58404413.34,78610574.21,46438910.62,52638469.38,43089293.14,42233980.57,45300807.23,29368026.16,81541564.45,46964269.77,61241097.94,45952563.89,61166681.38,43923857.7,35093673.99,31890603.19,50904865.41,41620629.33
Eef2,P58252,100309759.2,107518979.3,66034409.3,57969115.29,42636121.6,40593491.55,80225444.92,61956345.97,92046134.16,42361146.1,52064867.2,38433787.97,89945895.93,42845890.31,32568284.41,25903589.74,35488464.38,28749469.99
